Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobSatisfaction,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
59,No,Non-Travel,2,4,Human Resources,Female,32,5,4,Married,9,30,3,3,2
50,No,Travel_Frequently,1,3,Life Sciences,Female,73,5,2,Married,3,28,2,8,0
25,Yes,Travel_Rarely,5,3,Marketing,Male,46,2,3,Single,1,6,3,6,0
25,No,Travel_Rarely,7,1,Medical,Male,64,1,4,Married,1,2,3,2,2
22,No,Travel_Rarely,15,3,Medical,Female,59,1,4,Single,1,1,3,0,0
51,No,Travel_Frequently,1,4,Medical,Female,30,3,1,Single,3,23,2,13,12
34,Yes,Travel_Frequently,7,3,Life Sciences,Male,66,2,3,Single,1,9,3,9,0
54,No,Non-Travel,26,3,Human Resources,Female,30,4,4,Single,2,23,3,5,4
24,No,Travel_Rarely,18,1,Life Sciences,Male,52,1,3,Married,0,6,3,5,1
34,No,Travel_Rarely,6,4,Life Sciences,Female,45,2,2,Divorced,6,12,3,1,0
37,No,Travel_Rarely,3,3,Life Sciences,Male,87,3,4,Single,2,12,3,5,1
34,No,Travel_Rarely,5,3,Medical,Female,45,3,1,Single,2,14,3,11,5
36,No,Travel_Frequently,11,2,Technical Degree,Female,92,3,4,Married,0,10,3,9,2
36,No,Travel_Rarely,3,2,Life Sciences,Female,39,1,4,Divorced,5,7,3,1,0
43,No,Travel_Frequently,26,2,Life Sciences,Male,92,4,4,Married,1,25,4,25,4
30,No,Travel_Frequently,23,3,Life Sciences,Male,96,1,3,Divorced,1,10,2,10,0
33,No,Non-Travel,22,2,Marketing,Male,95,2,2,Married,0,8,4,7,0
56,Yes,Travel_Rarely,14,4,Life Sciences,Female,72,1,2,Married,9,7,3,5,4
51,No,Travel_Rarely,6,3,Life Sciences,Male,51,5,3,Single,7,23,3,20,15
31,Yes,Travel_Rarely,6,4,Life Sciences,Male,76,2,3,Married,4,12,2,7,7
26,No,Travel_Rarely,6,3,Other,Female,46,1,2,Married,1,5,2,5,4
58,Yes,Travel_Rarely,23,4,Medical,Female,94,3,4,Married,1,40,2,40,15
19,Yes,Travel_Rarely,22,1,Marketing,Male,50,1,3,Single,1,0,2,0,0
22,No,Travel_Rarely,2,1,Technical Degree,Male,100,1,4,Married,0,3,3,2,2
49,No,Travel_Rarely,20,4,Medical,Female,96,2,1,Married,1,16,2,15,5
43,No,Travel_Frequently,28,3,Medical,Female,72,1,3,Single,4,18,3,3,1
50,No,Travel_Frequently,12,3,Marketing,Female,77,3,4,Single,4,16,3,2,2
31,Yes,Travel_Rarely,20,3,Life Sciences,Female,71,2,3,Married,3,4,3,2,2
41,No,Travel_Rarely,9,1,Life Sciences,Male,96,3,3,Divorced,3,12,3,9,0
26,No,Travel_Rarely,25,1,Life Sciences,Female,61,1,3,Married,1,8,3,8,5
36,No,Travel_Rarely,6,2,Medical,Male,84,2,2,Divorced,6,7,3,3,0
51,Yes,Travel_Frequently,8,4,Life Sciences,Male,53,3,4,Single,2,18,3,4,0
39,No,Travel_Rarely,4,4,Life Sciences,Female,47,2,3,Married,4,17,4,15,5
25,No,Travel_Rarely,28,3,Life Sciences,Male,41,2,3,Married,2,6,3,2,2
30,No,Travel_Rarely,9,3,Human Resources,Male,48,2,4,Married,0,12,1,11,4
32,Yes,Travel_Rarely,9,3,Medical,Female,41,1,1,Single,7,10,4,5,0
45,No,Travel_Rarely,29,3,Medical,Male,83,1,4,Single,5,9,2,6,0
38,No,Travel_Rarely,3,5,Technical Degree,Female,32,2,3,Single,3,19,3,3,2
30,No,Travel_Rarely,18,3,Life Sciences,Female,75,1,3,Single,1,5,2,5,0
32,No,Travel_Frequently,9,2,Medical,Male,35,2,4,Divorced,0,9,4,8,0
30,No,Travel_Rarely,5,3,Technical Degree,Female,84,1,1,Divorced,5,8,3,3,2
30,No,Travel_Rarely,2,1,Medical,Male,35,1,4,Single,0,6,3,5,1
41,No,Travel_Frequently,10,3,Life Sciences,Male,91,4,1,Divorced,4,21,2,7,7
41,No,Travel_Rarely,9,4,Life Sciences,Male,94,1,1,Married,2,7,3,5,1
19,No,Travel_Rarely,3,1,Medical,Female,79,1,2,Single,1,1,3,1,0
40,No,Travel_Frequently,26,3,Medical,Female,54,2,2,Divorced,1,20,3,20,2
35,No,Travel_Rarely,1,5,Marketing,Male,94,3,2,Married,1,10,3,10,0
53,No,Travel_Rarely,6,2,Marketing,Male,34,2,3,Married,2,13,1,7,4
45,No,Travel_Rarely,9,3,Life Sciences,Male,60,2,2,Divorced,8,20,1,17,0
32,No,Travel_Frequently,8,3,Marketing,Female,43,3,4,Single,1,9,3,9,3
29,No,Non-Travel,1,1,Technical Degree,Male,41,2,3,Married,1,10,3,10,0
51,No,Travel_Rarely,7,4,Medical,Male,34,2,3,Married,2,10,3,1,0
58,No,Travel_Rarely,9,3,Medical,Female,75,1,2,Married,4,9,2,1,0
40,No,Travel_Rarely,4,4,Marketing,Male,67,3,4,Married,7,15,2,12,2
34,No,Travel_Frequently,2,4,Marketing,Female,75,1,3,Married,6,6,3,4,1
22,No,Travel_Rarely,19,1,Medical,Male,80,1,4,Married,1,2,3,2,2
27,No,Non-Travel,9,3,Medical,Male,57,1,2,Divorced,6,6,1,2,2
28,No,Travel_Rarely,21,3,Medical,Male,42,1,4,Married,1,5,1,5,0
57,No,Travel_Rarely,24,2,Life Sciences,Male,83,3,4,Divorced,3,12,1,5,1
27,No,Non-Travel,3,3,Medical,Male,79,1,3,Divorced,1,1,2,1,0
50,No,Travel_Rarely,11,3,Life Sciences,Female,53,5,2,Single,3,21,3,5,4
41,No,Travel_Rarely,14,3,Life Sciences,Male,56,1,3,Divorced,4,13,3,9,1
30,No,Travel_Rarely,5,3,Life Sciences,Female,41,3,4,Married,2,12,3,10,7
38,No,Travel_Rarely,1,4,Life Sciences,Female,59,2,4,Single,4,12,4,8,0
32,No,Travel_Rarely,6,5,Life Sciences,Male,43,1,3,Single,3,8,3,5,1
27,No,Travel_Rarely,17,3,Technical Degree,Male,51,1,2,Married,0,6,2,5,1
19,Yes,Travel_Frequently,1,1,Technical Degree,Female,100,1,1,Single,0,1,4,0,0
36,No,Travel_Frequently,3,2,Medical,Male,30,1,2,Single,4,13,2,8,7
30,No,Non-Travel,9,3,Medical,Male,66,2,1,Divorced,1,12,3,12,6
45,No,Travel_Rarely,4,2,Life Sciences,Female,30,2,1,Divorced,4,9,4,5,0
56,No,Travel_Rarely,8,3,Life Sciences,Female,67,1,1,Divorced,4,19,3,2,2
33,No,Travel_Rarely,2,3,Life Sciences,Male,90,1,4,Single,0,4,4,3,0
19,Yes,Travel_Rarely,2,3,Life Sciences,Male,47,1,4,Single,1,1,2,1,1
46,No,Travel_Rarely,1,2,Marketing,Female,92,3,1,Divorced,1,24,3,24,15
38,No,Travel_Rarely,9,2,Life Sciences,Female,75,1,4,Single,1,2,3,2,2
31,No,Travel_Rarely,12,1,Medical,Female,95,1,4,Married,8,7,3,4,0
34,No,Travel_Rarely,27,2,Medical,Female,95,1,2,Single,2,9,3,3,1
41,Yes,Travel_Rarely,20,2,Marketing,Female,70,1,2,Single,1,4,2,4,0
50,No,Travel_Rarely,1,3,Medical,Male,86,1,3,Married,2,5,2,3,0
53,No,Travel_Rarely,13,2,Medical,Female,57,2,1,Divorced,1,5,3,4,1
33,No,Travel_Rarely,14,3,Medical,Female,72,1,2,Married,1,8,3,8,1
40,No,Travel_Rarely,4,1,Medical,Female,46,5,3,Married,1,21,3,20,9
55,No,Travel_Rarely,14,4,Medical,Male,61,5,2,Single,8,36,3,24,2
34,No,Travel_Frequently,2,1,Life Sciences,Male,45,2,3,Married,1,10,2,10,1
51,No,Travel_Rarely,3,3,Medical,Female,98,4,2,Single,3,21,3,7,1
52,No,Travel_Rarely,1,4,Life Sciences,Male,65,5,3,Married,0,34,3,33,11
27,No,Travel_Rarely,9,3,Medical,Female,99,1,2,Single,1,7,2,7,0
35,Yes,Travel_Rarely,23,2,Life Sciences,Male,50,2,3,Married,3,8,3,1,0
43,No,Non-Travel,7,3,Medical,Male,37,1,4,Divorced,4,7,4,5,2
45,No,Non-Travel,2,2,Medical,Male,65,4,4,Married,9,22,3,20,11
37,No,Travel_Rarely,21,3,Life Sciences,Male,65,1,1,Married,1,8,2,8,1
35,No,Travel_Frequently,2,3,Medical,Female,37,2,2,Single,5,10,3,6,1
42,No,Non-Travel,21,2,Medical,Female,36,2,3,Divorced,2,11,3,5,0
38,No,Travel_Rarely,2,4,Life Sciences,Male,88,2,3,Married,9,14,3,1,0
38,No,Travel_Rarely,29,3,Technical Degree,Male,54,2,4,Married,3,9,1,7,1
27,No,Travel_Frequently,1,1,Technical Degree,Male,60,2,1,Married,5,6,3,2,2
49,No,Non-Travel,18,4,Life Sciences,Male,92,2,4,Divorced,1,7,3,7,1
34,No,Travel_Frequently,10,4,Medical,Male,43,1,3,Divorced,1,5,4,5,2
40,No,Travel_Rarely,19,2,Medical,Male,99,2,4,Married,8,15,4,7,3
38,Yes,Travel_Rarely,29,1,Medical,Male,70,2,1,Married,7,17,3,1,0
29,Yes,Travel_Rarely,27,3,Marketing,Female,35,3,4,Married,1,10,2,10,1
22,No,Travel_Rarely,5,3,Life Sciences,Male,60,1,2,Divorced,1,4,2,4,2
36,No,Travel_Frequently,18,1,Medical,Female,73,1,4,Single,1,8,3,8,1
40,No,Non-Travel,9,5,Life Sciences,Male,63,2,4,Married,9,5,1,3,0
46,No,Travel_Rarely,1,4,Medical,Male,97,3,1,Divorced,7,17,3,4,0
32,Yes,Travel_Rarely,4,4,Medical,Male,32,3,4,Married,1,14,2,14,9
30,No,Non-Travel,1,1,Life Sciences,Male,88,3,3,Single,1,12,3,11,5
27,No,Travel_Frequently,20,3,Life Sciences,Female,90,2,3,Single,1,7,3,7,0
51,No,Travel_Rarely,8,4,Life Sciences,Male,81,3,2,Married,5,16,1,10,4
30,Yes,Travel_Rarely,3,3,Technical Degree,Female,88,1,1,Single,5,8,3,5,0
41,No,Travel_Rarely,6,3,Life Sciences,Female,75,3,4,Single,3,16,3,1,0
30,Yes,Travel_Frequently,26,4,Marketing,Female,52,2,1,Single,5,9,2,6,0
29,Yes,Travel_Rarely,1,3,Technical Degree,Male,85,1,3,Single,0,7,2,6,1
45,No,Non-Travel,6,3,Medical,Female,57,3,4,Single,6,23,3,19,12
54,No,Travel_Rarely,3,3,Marketing,Female,52,2,1,Married,2,16,3,6,0
36,No,Travel_Rarely,5,2,Life Sciences,Male,62,2,2,Single,8,16,4,13,3
33,No,Travel_Rarely,4,4,Medical,Female,47,1,2,Married,6,7,3,3,1
37,No,Travel_Frequently,11,3,Other,Male,47,3,4,Divorced,1,10,3,10,0
38,No,Travel_Rarely,3,3,Life Sciences,Male,76,3,3,Divorced,0,17,2,16,5
31,No,Non-Travel,1,4,Medical,Male,90,2,3,Married,0,6,3,5,1
59,No,Travel_Rarely,3,3,Life Sciences,Male,70,1,4,Married,3,7,3,1,0
37,No,Travel_Frequently,4,4,Marketing,Male,41,1,4,Divorced,4,13,3,9,5
29,No,Travel_Frequently,1,1,Medical,Female,42,3,4,Married,1,11,3,11,4
35,No,Travel_Frequently,1,3,Marketing,Female,92,3,3,Single,1,10,4,10,0
29,Yes,Travel_Rarely,18,1,Medical,Male,86,1,4,Single,1,4,2,4,0
52,No,Travel_Rarely,2,3,Life Sciences,Female,89,1,4,Single,7,6,2,2,2
42,No,Travel_Rarely,4,2,Technical Degree,Male,58,5,4,Married,1,22,3,22,11
59,No,Travel_Rarely,6,2,Medical,Male,52,1,3,Married,8,7,2,2,2
50,No,Travel_Rarely,1,4,Medical,Female,68,5,4,Divorced,3,32,2,7,0
33,Yes,Travel_Rarely,14,3,Medical,Male,58,1,4,Married,5,8,1,5,0
43,No,Travel_Rarely,16,3,Marketing,Female,80,4,4,Married,5,22,3,17,1
33,Yes,Travel_Rarely,2,2,Life Sciences,Female,39,1,1,Married,7,13,4,9,1
52,No,Non-Travel,2,4,Life Sciences,Male,79,5,3,Single,1,33,4,33,15
32,No,Travel_Rarely,4,2,Life Sciences,Female,56,1,2,Married,2,6,3,4,1
32,Yes,Travel_Rarely,1,3,Life Sciences,Male,62,1,3,Single,0,4,1,3,1
39,No,Travel_Rarely,1,4,Medical,Female,96,1,3,Divorced,7,7,3,3,1
32,No,Non-Travel,26,4,Marketing,Male,100,2,4,Married,0,4,3,3,2
41,No,Travel_Rarely,19,2,Life Sciences,Male,36,2,1,Divorced,2,17,2,1,0
40,No,Travel_Rarely,24,2,Technical Degree,Male,62,2,4,Divorced,1,9,3,9,4
45,No,Travel_Rarely,1,3,Other,Male,70,5,4,Married,0,25,3,24,1
31,No,Travel_Frequently,3,4,Medical,Male,73,3,3,Divorced,9,9,3,2,2
33,No,Travel_Rarely,5,4,Life Sciences,Female,63,1,4,Married,1,2,2,2,0
34,No,Travel_Rarely,2,4,Life Sciences,Male,84,2,1,Married,6,13,3,11,5
37,No,Travel_Rarely,1,2,Medical,Female,83,1,1,Married,2,17,2,3,0
45,No,Travel_Frequently,7,4,Life Sciences,Male,77,2,3,Married,4,9,3,3,0
37,Yes,Travel_Frequently,10,3,Medical,Male,61,3,3,Divorced,6,17,3,1,0
39,No,Travel_Frequently,2,4,Technical Degree,Female,64,3,3,Single,0,20,3,19,11
29,No,Travel_Rarely,15,3,Life Sciences,Male,60,1,4,Single,1,6,3,6,1
42,No,Travel_Rarely,17,2,Life Sciences,Female,82,2,1,Single,3,10,3,3,0
29,No,Travel_Rarely,20,2,Marketing,Male,45,2,4,Divorced,2,10,3,3,0
25,No,Travel_Rarely,1,3,Life Sciences,Female,62,2,3,Married,0,5,3,4,1
42,No,Travel_Rarely,2,3,Medical,Female,56,1,1,Divorced,0,10,3,9,7
40,No,Travel_Rarely,2,2,Medical,Male,49,5,3,Divorced,0,22,3,21,3
51,No,Travel_Rarely,1,3,Life Sciences,Male,96,1,4,Married,1,1,2,1,0
31,Yes,Travel_Frequently,29,2,Medical,Male,71,1,2,Single,0,6,4,5,1
32,No,Travel_Frequently,7,3,Life Sciences,Male,100,1,2,Married,1,5,1,5,0
38,No,Non-Travel,2,2,Life Sciences,Male,39,2,4,Married,3,13,3,8,7
32,No,Travel_Rarely,2,1,Technical Degree,Male,84,2,1,Single,4,9,3,6,0
46,No,Travel_Rarely,2,3,Technical Degree,Female,75,4,2,Married,3,28,2,7,7
28,Yes,Travel_Rarely,2,4,Life Sciences,Male,79,1,3,Single,2,5,1,0,0
29,No,Travel_Rarely,2,3,Medical,Male,78,2,2,Married,2,10,3,0,0
31,No,Travel_Rarely,23,3,Medical,Male,64,2,4,Married,0,10,3,9,7
25,No,Non-Travel,5,2,Life Sciences,Male,85,2,1,Divorced,1,6,3,6,1
45,No,Travel_Rarely,20,2,Medical,Male,79,4,4,Married,0,21,3,20,4
36,No,Travel_Rarely,6,3,Life Sciences,Male,47,1,4,Married,0,16,3,15,10
55,No,Travel_Rarely,1,3,Medical,Male,81,5,1,Single,0,37,3,36,4
47,Yes,Non-Travel,29,4,Life Sciences,Male,88,3,2,Married,1,10,2,10,9
28,No,Travel_Rarely,9,3,Medical,Male,94,1,4,Married,1,5,2,5,0
37,No,Travel_Rarely,6,4,Medical,Male,98,2,4,Married,4,7,4,5,0
21,No,Travel_Rarely,3,2,Medical,Male,100,1,3,Single,1,3,4,3,1
37,No,Non-Travel,1,4,Medical,Female,80,3,4,Divorced,2,15,3,5,0
35,No,Travel_Rarely,22,3,Life Sciences,Female,71,3,2,Divorced,7,10,2,7,6
38,No,Travel_Rarely,7,2,Medical,Female,44,2,1,Divorced,1,8,3,8,7
26,No,Travel_Frequently,1,3,Life Sciences,Female,84,2,2,Divorced,1,6,1,6,1
50,No,Travel_Rarely,4,1,Life Sciences,Male,96,5,2,Divorced,3,28,2,10,1
53,No,Travel_Rarely,3,4,Medical,Male,45,4,3,Married,3,21,2,5,1
42,No,Travel_Rarely,1,1,Life Sciences,Male,99,2,3,Married,1,20,3,20,11
29,No,Travel_Frequently,2,2,Life Sciences,Male,44,2,4,Single,1,10,2,10,0
55,No,Travel_Rarely,20,2,Technical Degree,Male,37,2,4,Married,3,12,3,10,0
26,No,Travel_Frequently,11,2,Medical,Male,60,2,1,Married,1,5,3,5,3
37,No,Travel_Rarely,1,3,Life Sciences,Female,42,1,4,Single,1,17,3,17,5
44,Yes,Travel_Frequently,24,3,Life Sciences,Male,43,1,3,Divorced,3,19,1,1,0
38,No,Travel_Rarely,23,4,Life Sciences,Male,82,2,4,Divorced,9,10,3,2,1
26,Yes,Travel_Rarely,16,4,Medical,Male,45,1,2,Divorced,2,5,3,3,0
28,No,Travel_Rarely,8,2,Life Sciences,Female,66,1,4,Single,1,5,3,5,0
49,No,Travel_Frequently,10,4,Life Sciences,Female,35,5,1,Single,9,22,3,3,1
36,No,Travel_Rarely,3,3,Technical Degree,Male,30,2,2,Single,4,10,3,8,7
31,No,Travel_Frequently,5,3,Marketing,Female,84,1,2,Divorced,1,2,2,2,2
26,Yes,Travel_Rarely,4,4,Marketing,Male,48,2,4,Single,1,8,3,8,7
37,No,Travel_Frequently,9,3,Medical,Male,53,1,4,Married,1,4,2,4,1
42,No,Travel_Frequently,26,3,Marketing,Female,77,4,2,Married,5,23,4,20,4
18,Yes,Travel_Rarely,3,3,Life Sciences,Male,54,1,3,Single,1,0,3,0,0
35,No,Travel_Rarely,16,3,Marketing,Male,96,3,2,Married,0,12,2,11,6
36,No,Travel_Frequently,18,4,Life Sciences,Male,81,1,4,Married,4,4,3,1,0
51,No,Travel_Rarely,2,3,Medical,Male,84,2,2,Divorced,5,13,3,4,1
41,No,Travel_Rarely,2,4,Life Sciences,Male,88,4,2,Single,1,22,3,22,0
18,No,Travel_Rarely,10,3,Medical,Female,69,1,3,Single,1,0,3,0,0
28,No,Travel_Rarely,16,2,Medical,Male,68,2,1,Single,0,9,3,8,0
31,No,Travel_Rarely,7,3,Technical Degree,Male,100,2,4,Married,4,10,2,8,7
